type,city,district,session,name,photo,party,gender,age,education,hair,opinion,lat,lon
分區立委,新北市,第7選區,,羅致政,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC7%E9%81%B8%E8%88%89%E5%8D%80-2-%E7%BE%85%E8%87%B4%E6%94%BF.jpg,民主進步黨,M,52,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314b313230333334383536,25.012896,121.477441
分區立委,新北市,第8選區,中和區76里,張慶忠,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC8%E9%81%B8%E8%88%89%E5%8D%80-2-%E5%BC%B5%E6%85%B6%E5%BF%A0.jpg,中國國民黨,M,65,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146313032393435303137,24.987713,121.483696
分區立委,新北市,第8選區,,江永昌,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC8%E9%81%B8%E8%88%89%E5%8D%80-1-%E6%B1%9F%E6%B0%B8%E6%98%8C.jpg,民主進步黨,M,47,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146313231383633373831,24.987713,121.483696
分區立委,新北市,第9選區,永和區 中和區17里,林德福,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC9%E9%81%B8%E8%88%89%E5%8D%80-4-%E6%9E%97%E5%BE%B7%E7%A6%8F.jpg,中國國民黨,M,63,高中,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146313032383731393639,24.997048,121.526268
分區立委,新北市,第9選區,,李幸長,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC9%E9%81%B8%E8%88%89%E5%8D%80-5-%E6%9D%8E%E5%B9%B8%E9%95%B7.jpg,民主進步黨,M,64,大學,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303152313032393036333331,24.997048,121.526268
分區立委,新北市,第10選區,土城區 三峽區,盧嘉辰,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC10%E9%81%B8%E8%88%89%E5%8D%80-1-%E7%9B%A7%E5%98%89%E8%BE%B0.jpg,中國國民黨,M,63,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146313030383635303235,24.849157,121.360443
分區立委,新北市,第10選區,,吳琪銘,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC10%E9%81%B8%E8%88%89%E5%8D%80-2-%E5%90%B3%E7%90%AA%E9%8A%98.jpg,民主進步黨,M,53,專科,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303150313231343634373439,24.849157,121.360443
分區立委,新北市,第11選區,新店區 深坑區 石碇區 坪林區 烏來區,羅明才,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC11%E9%81%B8%E8%88%89%E5%8D%80-1-%E7%BE%85%E6%98%8E%E6%89%8D.jpg,中國國民黨,M,49,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146313230393334393035,24.682061,121.486785
分區立委,新北市,第11選區,,陳永福,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC11%E9%81%B8%E8%88%89%E5%8D%80-3-%E9%99%B3%E6%B0%B8%E7%A6%8F.jpg,民主進步黨,M,58,大學,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146313231323233323332,24.682061,121.486785
分區立委,新北市,第12選區,金山區 萬里區 汐止區 平溪區 瑞芳區 雙溪區 貢寮區,黃國昌,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC12%E9%81%B8%E8%88%89%E5%8D%80-3-%E9%BB%83%E5%9C%8B%E6%98%8C.jpg,時代力量,M,43,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146313234333732383736,25.006072,121.990783
