type,city,district,session,name,photo,party,gender,age,education,hair,opinion,lat,lon
分區立委,台中市,第5選區,北屯區 北區,盧秀燕,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC5%E9%81%B8%E8%88%89%E5%8D%80-3-%E7%9B%A7%E7%A7%80%E7%87%95.jpg,中國國民黨,F,55,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303143323230353336353630,24.28694,120.72738
分區立委,台中市,第6選區,西區 中區 東區 南區,黃國書,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC6%E9%81%B8%E8%88%89%E5%8D%80-1-%E9%BB%83%E5%9C%8B%E6%9B%B8.jpg,民主進步黨,M,52,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314d313230393335333831,24.18994,120.62713
分區立委,台中市,第7選區,太平區 大里區25里,何欣純,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC7%E9%81%B8%E8%88%89%E5%8D%80-1-%E4%BD%95%E6%AC%A3%E7%B4%94.jpg,民主進步黨,F,43,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c323231393931383735,24.03584,120.83381
分區立委,台中市,第8選區,豐原區 石岡區 新社區 東勢區 和平區,江啟臣,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC8%E9%81%B8%E8%88%89%E5%8D%80-2-%E6%B1%9F%E5%95%9F%E8%87%A3.jpg,中國國民黨,M,44,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c313230303937373431,24.21816,120.98625
分區立委,台南市,第1選區,後壁區 白河區 北門區 學甲區 鹽水區 新營區 柳營區 東山區 將軍區 下營區 六甲區 官田區,葉宜津,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8D%97%E5%B8%82-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-4-%E8%91%89%E5%AE%9C%E6%B4%A5.jpg,民主進步黨,F,56,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c323231373530303631,23.29685,120.10597
分區立委,台南市,第2選區,,黃偉哲,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8D%97%E5%B8%82-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-1-%E9%BB%83%E5%81%89%E5%93%B2.jpg,民主進步黨,M,53,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303141313232323235363634,23.11889,120.46714
分區立委,台南市,第3選區,,陳亭妃,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8D%97%E5%B8%82-%E7%AC%AC3%E9%81%B8%E8%88%89%E5%8D%80-3-%E9%99%B3%E4%BA%AD%E5%A6%83.jpg,民主進步黨,F,42,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303144323230383731343736,23.15292,120.23438
分區立委,台南市,第4選區,,林俊憲,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8D%97%E5%B8%82-%E7%AC%AC4%E9%81%B8%E8%88%89%E5%8D%80-1-%E6%9E%97%E4%BF%8A%E6%86%B2.jpg,民主進步黨,M,51,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303144313230333231333939,23.0563,120.08332
分區立委,台南市,第5選區,,王定宇,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8D%97%E5%B8%82-%E7%AC%AC5%E9%81%B8%E8%88%89%E5%8D%80-1-%E7%8E%8B%E5%AE%9A%E5%AE%87.jpg,民主進步黨,M,47,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303153313231373737373533,23.01275,120.382
分區立委,高雄市,第1選區,,邱議瑩,http://g0v-data.github.io/cec-crawler/images/000-%E9%AB%98%E9%9B%84%E5%B8%82-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-1-%E9%82%B1%E8%AD%B0%E7%91%A9.jpg,民主進步黨,F,45,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303154323230333133333437,22.95396,120.69168
分區立委,高雄市,第2選區,,邱志偉,http://g0v-data.github.io/cec-crawler/images/000-%E9%AB%98%E9%9B%84%E5%B8%82-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-1-%E9%82%B1%E5%BF%97%E5%81%89.jpg,民主進步黨,M,44,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303154313230383934393037,22.87744,120.18768
分區立委,高雄市,第3選區,,劉世芳,http://g0v-data.github.io/cec-crawler/images/000-%E9%AB%98%E9%9B%84%E5%B8%82-%E7%AC%AC3%E9%81%B8%E8%88%89%E5%8D%80-4-%E5%8A%89%E4%B8%96%E8%8A%B3.jpg,民主進步黨,F,57,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303141323231383537363030,22.72362,120.18218
